system,dataset_size,pattern_name,pattern,success,correctness_matches_pandas,execution_time_seconds,execution_time_std_seconds,execution_time_min_seconds,execution_time_max_seconds,measured_runs,throughput_rows_per_second,query_memory_mb,query_memory_metric,footprint_memory_mb,footprint_memory_metric,result_rows,error,throughput_std_rows_per_second,baseline_memory_mb,abs_peak_memory_std_mb,inc_peak_memory_std_mb,mem_per_million_rows_mb,native_query_memory_mb,outliers_excluded_time,outliers_excluded_throughput,outliers_excluded_abs_peak,outliers_excluded_inc_peak
oracle_21c_ee,100000,alternation,A (B|C)+ D,True,True,0.0731780458496359,0.0055835892479254,0.0648186670005088,0.0819836079972446,20,1374150.040904166,2.4197841724123466,"cgroup v2 memory.current incremental peak MB over 5s pre-query baseline (50ms sampling, IQR-filtered mean)",1991.3478515625,"cgroup v2 memory.current absolute peak MB during query (50ms sampling, IQR-filtered mean)",1828,,105345.49673312817,1988.928067390088,0.4396013090804095,0.449330101136402,24.197841724123464,1.1875,0,0,0,0
oracle_21c_ee,100000,complex_nested,"(A|B)+ (C{1,3} D*)+",True,True,0.1376563410482049,0.0098835939453795,0.1220698819961398,0.1558691589962109,20,729985.1608258841,2.6326182510804643,"cgroup v2 memory.current incremental peak MB over 5s pre-query baseline (50ms sampling, IQR-filtered mean)",1961.7830078125,"cgroup v2 memory.current absolute peak MB during query (50ms sampling, IQR-filtered mean)",9420,,51977.90526240429,1959.1503895614196,0.548990672337546,0.5097168780623774,26.32618251080464,1.1875,0,0,0,0
oracle_21c_ee,100000,optional_pattern,A+ B? C*,True,True,0.0846838591507548,0.0080268822483229,0.0721160190005321,0.1007993610037374,20,1190721.3464683157,2.718321636060409,"cgroup v2 memory.current incremental peak MB over 5s pre-query baseline (50ms sampling, IQR-filtered mean)",1975.576171875,"cgroup v2 memory.current absolute peak MB during query (50ms sampling, IQR-filtered mean)",15247,,109913.6791496157,1988.3749234861216,11.670927508536124,0.333322230673392,27.18321636060409,1.1875,0,0,4,3
oracle_21c_ee,100000,quantified,"A{1,5} B* C+",True,True,0.1045726345499133,0.0064953253806137,0.0918126579999807,0.1130543870021938,20,959926.7061487996,2.6521335264321806,"cgroup v2 memory.current incremental peak MB over 5s pre-query baseline (50ms sampling, IQR-filtered mean)",1992.9453125,"cgroup v2 memory.current absolute peak MB during query (50ms sampling, IQR-filtered mean)",5643,,62002.37131370186,1994.9696821342643,0.4537149113904178,0.3706073209726487,26.52133526432181,1.1875,0,0,2,1
oracle_21c_ee,100000,simple_sequence,A+ B+,True,True,0.087971370449668,0.0042859908236182,0.0809128629989572,0.096671758001321,20,1139312.00337482,3.136082338483132,"cgroup v2 memory.current incremental peak MB over 5s pre-query baseline (50ms sampling, IQR-filtered mean)",1988.231584821429,"cgroup v2 memory.current absolute peak MB during query (50ms sampling, IQR-filtered mean)",9067,,55788.08427511159,1989.939078185848,2.929043370123903,1.4877549623767543,31.36082338483132,1.2375,0,0,6,2
oracle_21c_ee,200000,alternation,A (B|C)+ D,True,True,0.1288564404512726,0.0064779884629632,0.1160446409994619,0.1378859950054902,20,1555972.5426849118,5.21871095389333,"cgroup v2 memory.current incremental peak MB over 5s pre-query baseline (50ms sampling, IQR-filtered mean)",1953.456814236111,"cgroup v2 memory.current absolute peak MB during query (50ms sampling, IQR-filtered mean)",3692,,80869.97136060074,1949.8306344642283,3.576438250377447,0.2912315521307708,26.09355476946665,3.75,0,0,2,1
oracle_21c_ee,200000,complex_nested,"(A|B)+ (C{1,3} D*)+",True,True,0.2811377559999528,0.0062325900051708,0.2685520800005179,0.2908904500000062,20,711728.2625004188,5.421888884022974,"cgroup v2 memory.current incremental peak MB over 5s pre-query baseline (50ms sampling, IQR-filtered mean)",1966.5291015625,"cgroup v2 memory.current absolute peak MB during query (50ms sampling, IQR-filtered mean)",17759,,15826.884743578285,1961.107212678477,0.4699502776394896,0.4658389726445588,27.10944442011487,3.75,0,0,0,0
oracle_21c_ee,200000,optional_pattern,A+ B? C*,True,True,0.1485882036841327,0.0074044953073628,0.1330663359985919,0.1694382989953737,20,1340712.325134901,5.487631544878809,"cgroup v2 memory.current incremental peak MB over 5s pre-query baseline (50ms sampling, IQR-filtered mean)",1976.70546875,"cgroup v2 memory.current absolute peak MB during query (50ms sampling, IQR-filtered mean)",27172,,59794.32554043854,1971.217837205121,11.217727247192885,0.4626825209457333,27.43815772439405,3.75,1,2,0,0
oracle_21c_ee,200000,quantified,"A{1,5} B* C+",True,True,0.183005898450574,0.0084443514322116,0.1682813750012428,0.2010234139961539,20,1095055.503096118,5.647635770815812,"cgroup v2 memory.current incremental peak MB over 5s pre-query baseline (50ms sampling, IQR-filtered mean)",1988.2865234375,"cgroup v2 memory.current absolute peak MB during query (50ms sampling, IQR-filtered mean)",10064,,50139.570690271554,1982.508658537015,1.612026687690109,0.542453189601254,28.23817885407906,3.75,0,0,0,1
oracle_21c_ee,200000,simple_sequence,A+ B+,True,True,0.1508505238429949,0.0037517103048398,0.1342159260020707,0.1561738960008369,20,1326602.3818795204,5.315497103902999,"cgroup v2 memory.current incremental peak MB over 5s pre-query baseline (50ms sampling, IQR-filtered mean)",1938.765869140625,"cgroup v2 memory.current absolute peak MB during query (50ms sampling, IQR-filtered mean)",16093,,33404.20181131402,1931.803749153607,3.21126964673459,0.3544186124700998,26.577485519514997,3.8,1,1,4,5
