system,pattern,dataset_size,ordered_time_s,unordered_time_s,slowdown_factor,ordered_rows,unordered_rows,counts_identical
oracle_21c_ee,alternation,100000,0.0731780458496359,0.0644316844003697,0.8804783409051675,1828,1828,True
oracle_21c_ee,complex_nested,100000,0.1376563410482049,0.1154163998002331,0.8384386721409096,9420,9420,True
oracle_21c_ee,optional_pattern,100000,0.0846838591507548,0.0771058040996649,0.9105135839688246,15247,15247,True
oracle_21c_ee,quantified,100000,0.1045726345499133,0.0912190683502558,0.8723034352425755,5643,5643,True
oracle_21c_ee,simple_sequence,100000,0.087971370449668,0.0794042290004654,0.9026144368854159,9067,9067,True
oracle_21c_ee,alternation,200000,0.1288564404512726,0.1215727040998899,0.9434740217417611,3692,3692,True
oracle_21c_ee,complex_nested,200000,0.2811377559999528,0.2530418347500017,0.900063507478676,17759,17759,True
oracle_21c_ee,optional_pattern,200000,0.1485882036841327,0.1378276583496699,0.9275814292947678,27172,27172,True
oracle_21c_ee,quantified,200000,0.183005898450574,0.1694881980998616,0.9261351657779312,10064,10064,True
oracle_21c_ee,simple_sequence,200000,0.1508505238429949,0.1462757928502469,0.9696737480506903,16093,16093,True
oracle_21c_ee,alternation,400000,0.2435562090005987,0.2551172666000639,1.0474677186301449,5803,5803,True
oracle_21c_ee,complex_nested,400000,0.6530812451004749,0.6227797964498677,0.9536023291467428,32360,32360,True
oracle_21c_ee,optional_pattern,400000,0.2828691964998143,0.2816711524501443,0.9957646712173173,52950,52950,True
oracle_21c_ee,quantified,400000,0.3688382435506355,0.3618287193996366,0.9809956687692648,19012,19012,True
oracle_21c_ee,simple_sequence,400000,0.3580193396470242,0.3659836473500036,1.02224546783096,34391,34391,True
oracle_21c_ee,alternation,800000,0.4769940819496696,0.5281811480495889,1.1073117425077832,9782,9782,True
oracle_21c_ee,complex_nested,800000,2.465594615631409,2.2516869702996702,0.913242978397339,58616,58616,True
oracle_21c_ee,optional_pattern,800000,0.528453941499538,0.5742238453003665,1.0866109611576595,99214,99214,True
oracle_21c_ee,quantified,800000,0.7881134739513073,0.8307774999502726,1.054134369490048,32804,32804,True
oracle_21c_ee,simple_sequence,800000,0.6781132377494942,0.7430460362502345,1.095755096473618,66330,66330,True
oracle_21c_ee,alternation,1600000,0.9470236998502516,1.1571904074502526,1.2219233875912858,20276,20276,True
oracle_21c_ee,complex_nested,1600000,5.193278278764731,4.748660802500308,0.914385971173072,119299,119299,True
oracle_21c_ee,optional_pattern,1600000,1.0311377373905597,1.218549097850519,1.1817520139784916,197253,197253,True
oracle_21c_ee,quantified,1600000,1.5335034814495885,1.722315613899991,1.1231246845764722,67358,67358,True
oracle_21c_ee,simple_sequence,1600000,1.297914431049867,1.5374457075000465,1.1845509000592787,130338,130338,True
oracle_21c_ee,alternation,2222742,1.3086160263169164,1.6503990141494795,1.2611789714928887,28776,28776,True
oracle_21c_ee,complex_nested,2222742,6.410774063799181,6.042571161799788,0.9425649853925461,167641,167641,True
oracle_21c_ee,optional_pattern,2222742,1.4551078437994875,1.7492650551501356,1.2021549210968192,276776,276776,True
oracle_21c_ee,quantified,2222742,2.120683330221962,2.4146993065998688,1.1386420934176598,95650,95650,True
oracle_21c_ee,simple_sequence,2222742,1.8162009171493991,2.191983606599388,1.2069059022609652,181147,181147,True
proposed_pandas_engine,alternation,100000,0.0227731996318126,0.0286145408996162,1.256500683357803,1828,1828,True
proposed_pandas_engine,complex_nested,100000,0.0401358214498941,0.0449445694738594,1.1198118750345891,9420,9420,True
proposed_pandas_engine,optional_pattern,100000,0.0178106324999842,0.0241331495788855,1.3549855446687202,15247,15247,True
proposed_pandas_engine,quantified,100000,0.016393636650082,0.0224268877500435,1.3680239612930132,5643,5643,True
proposed_pandas_engine,simple_sequence,100000,0.0153389579999283,0.0203467700591906,1.3264766784866162,9067,9067,True
proposed_pandas_engine,alternation,200000,0.0401918106114559,0.052350048199878,1.3025053463243734,3692,3692,True
proposed_pandas_engine,complex_nested,200000,0.0758126472775176,0.085720795850284,1.1306925549835625,17759,17759,True
proposed_pandas_engine,optional_pattern,200000,0.0305851979996481,0.0435218020003958,1.4229694377292095,27172,27172,True
proposed_pandas_engine,quantified,200000,0.0284148724213561,0.0410431084996162,1.4444234656766908,10064,10064,True
proposed_pandas_engine,simple_sequence,200000,0.0249793992106309,0.0383198371000617,1.5340575958989953,16093,16093,True
proposed_pandas_engine,alternation,400000,0.0717829375505061,0.0979310531049697,1.3642664461323546,5803,5803,True
proposed_pandas_engine,complex_nested,400000,0.1521118867222968,0.1653976451052585,1.087342012969814,32360,32360,True
proposed_pandas_engine,optional_pattern,400000,0.0630858768948344,0.0814646527494915,1.2913294822753265,52950,52950,True
proposed_pandas_engine,quantified,400000,0.0532401435557403,0.0749212514003375,1.4072323325330245,19012,19012,True
proposed_pandas_engine,simple_sequence,400000,0.0494375756316003,0.072289842647853,1.4622448962008896,34391,34391,True
proposed_pandas_engine,alternation,800000,0.1406278978334335,0.1946171080556572,1.383915361418338,9782,9782,True
proposed_pandas_engine,complex_nested,800000,0.3167209689995883,0.3590205836320054,1.1335548282957928,58616,58616,True
proposed_pandas_engine,optional_pattern,800000,0.1099821426667201,0.1778512734111727,1.617092276062643,99214,99214,True
proposed_pandas_engine,quantified,800000,0.0893479662499885,0.1536275968499467,1.7194302601148066,32804,32804,True
proposed_pandas_engine,simple_sequence,800000,0.0928463004998371,0.1475973537499157,1.5896955824338384,66330,66330,True
proposed_pandas_engine,alternation,1600000,0.2646983047640841,0.4021762969001429,1.5193761715194507,20276,20276,True
proposed_pandas_engine,complex_nested,1600000,0.6039921531057764,0.7340538972495778,1.2153368110413578,119299,119299,True
proposed_pandas_engine,optional_pattern,1600000,0.217974228166794,0.3606924845000321,1.6547483045749336,197253,197253,True
proposed_pandas_engine,quantified,1600000,0.1780673132996525,0.3167484927997065,1.7788132304028235,67358,67358,True
proposed_pandas_engine,simple_sequence,1600000,0.1702343002937542,0.3157948663496427,1.8550601483056648,130338,130338,True
proposed_pandas_engine,alternation,2222742,0.3728129613683498,0.5895218227776948,1.581280384174279,28776,28776,True
proposed_pandas_engine,complex_nested,2222742,0.8746649445793561,1.0564510615999096,1.2078351466434707,167641,167641,True
proposed_pandas_engine,optional_pattern,2222742,0.3311986001499463,0.5415484964005373,1.6351171054326845,276776,276776,True
proposed_pandas_engine,quantified,2222742,0.2813902099998813,0.486877129649838,1.7302561082350498,95650,95650,True
proposed_pandas_engine,simple_sequence,2222742,0.2689752444739018,0.4622882392501196,1.7187018089873864,181147,181147,True
trino_473,alternation,100000,0.2302774783335432,0.3022159958497468,1.3123992760247485,1828,1828,True
trino_473,complex_nested,100000,0.3322115441003916,0.3039402687500114,0.9148997804187176,9420,9420,True
trino_473,optional_pattern,100000,0.1946860924217617,0.2278991635502279,1.1705980674598702,15247,15247,True
trino_473,quantified,100000,0.2424684594213766,0.2559171130499635,1.0554655795672583,5643,5643,True
trino_473,simple_sequence,100000,0.2877298240529949,0.324225464149822,1.1268399625132541,9067,9067,True
trino_473,alternation,200000,0.3326063234443508,0.345714131600107,1.0394093774887274,3692,3692,True
trino_473,complex_nested,200000,0.5791629378998551,0.585163605100206,1.0103609309361377,17759,17759,True
trino_473,optional_pattern,200000,0.2866909689996407,0.3089667192499291,1.077699518502504,27172,27172,True
trino_473,quantified,200000,0.347102542777874,0.411291592499947,1.1849282036609867,10064,10064,True
trino_473,simple_sequence,200000,0.3657886645552126,0.3602028551500552,0.984729408135297,16093,16093,True
trino_473,alternation,400000,0.5214273034741238,0.6141861295499439,1.1778940716333688,5803,5803,True
trino_473,complex_nested,400000,1.270904645389035,1.2904647122001731,1.0153906643445707,32360,32360,True
trino_473,optional_pattern,400000,0.4976896425260316,0.5253474814498986,1.0555724623552325,52950,52950,True
trino_473,quantified,400000,0.6586479326837625,0.6941513747999124,1.053903520157553,19012,19012,True
trino_473,simple_sequence,400000,0.6745515867649587,0.7529565793501206,1.1162327598415114,34391,34391,True
trino_473,alternation,800000,0.9496587893158184,1.1135082898000292,1.1725351276980822,9782,9782,True
trino_473,complex_nested,800000,5.1804898225991565,4.938925533049769,0.9533703765818442,58616,58616,True
trino_473,optional_pattern,800000,0.8921784834735598,0.999418096500176,1.1201997302256106,99214,99214,True
trino_473,quantified,800000,1.271990221278126,1.4278171557998576,1.1225063934572963,32804,32804,True
trino_473,simple_sequence,800000,1.1657215495265278,1.383099402949847,1.1864749377856227,66330,66330,True
trino_473,alternation,1600000,1.8003588793155934,2.275592055099969,1.2639658021766391,20276,20276,True
trino_473,complex_nested,1600000,11.10805595499969,11.088256490849924,0.9982175581190825,119299,119299,True
trino_473,optional_pattern,1600000,1.6168801746320434,2.032958683499692,1.2573341645198517,197253,197253,True
trino_473,quantified,1600000,2.35961966000047,2.8507878758998237,1.2081556719608175,67358,67358,True
trino_473,simple_sequence,1600000,2.2247721102635536,2.650133682499836,1.1911933228010003,130338,130338,True
trino_473,alternation,2222742,2.4085992254284583,3.2394759185499424,1.3449626174207883,28776,28776,True
trino_473,complex_nested,2222742,13.213008285789616,13.825922218800406,1.0463871602706833,167641,167641,True
trino_473,optional_pattern,2222742,2.2309103870001685,2.948221347800245,1.3215328437125708,276776,276776,True
trino_473,quantified,2222742,3.2016744307892573,4.011041699450106,1.252794994043579,95650,95650,True
trino_473,simple_sequence,2222742,2.8866182415789043,3.705941813949994,1.2838350983062246,181147,181147,True
