system,dataset_size,pattern_name,pattern,success,correctness_matches_pandas,execution_time_seconds,execution_time_std_seconds,execution_time_min_seconds,execution_time_max_seconds,measured_runs,throughput_rows_per_second,query_memory_mb,query_memory_metric,footprint_memory_mb,footprint_memory_metric,result_rows,error,throughput_std_rows_per_second,baseline_memory_mb,abs_peak_memory_std_mb,inc_peak_memory_std_mb,mem_per_million_rows_mb,native_query_memory_mb,outliers_excluded_time,outliers_excluded_throughput,outliers_excluded_abs_peak,outliers_excluded_inc_peak
proposed_pandas_engine,100000,state_dependent,A+ B+ ; B AS price > AVG(A.price),True,baseline,0.0601123953500064,0.0008716362766208,0.0585729480008012,0.0616404319989669,20,1663882.4529634097,5.650377126528442,"cgroup v2 memory.current incremental peak MB over 5s pre-query baseline (50ms sampling, IQR-filtered mean)",83.3330078125,"cgroup v2 memory.current absolute peak MB during query (50ms sampling, IQR-filtered mean)",9067,,24107.105788071884,77.66162208017677,1.2017891612952427,0.1050622151060836,56.50377126528441,,0.0,0.0,0.0,1.0
proposed_pandas_engine,200000,state_dependent,A+ B+ ; B AS price > AVG(A.price),True,baseline,0.1068126388950316,0.0011383405057289,0.1049193340004421,0.1122571660016547,20,1872638.6220800995,17.735136521464646,"cgroup v2 memory.current incremental peak MB over 5s pre-query baseline (50ms sampling, IQR-filtered mean)",102.8814453125,"cgroup v2 memory.current absolute peak MB during query (50ms sampling, IQR-filtered mean)",16093,,19913.217090670605,85.14630879103535,2.9010199039347877,0.9865954593181404,88.67568260732322,,1.0,1.0,0.0,0.0
proposed_pandas_engine,400000,state_dependent,A+ B+ ; B AS price > AVG(A.price),True,baseline,0.2289930158493007,0.0033785552449686,0.2236975449995952,0.2362098720004724,20,1747136.3875656812,37.05865654592803,"cgroup v2 memory.current incremental peak MB over 5s pre-query baseline (50ms sampling, IQR-filtered mean)",141.9181640625,"cgroup v2 memory.current absolute peak MB during query (50ms sampling, IQR-filtered mean)",34391,,25561.013139509607,104.85950751657197,5.663911136107046,1.819088279281517,92.64664136482008,,0.0,0.0,0.0,0.0
proposed_pandas_engine,800000,state_dependent,A+ B+ ; B AS price > AVG(A.price),True,baseline,0.4630746461110296,0.0134084122916526,0.444258790997992,0.5388911419977376,20,1722338.937958014,76.14999757339015,"cgroup v2 memory.current incremental peak MB over 5s pre-query baseline (50ms sampling, IQR-filtered mean)",222.5201171875,"cgroup v2 memory.current absolute peak MB during query (50ms sampling, IQR-filtered mean)",66330,,55391.58948077813,146.37011961410985,18.216472487578788,4.117667553243662,95.18749696673768,,2.0,1.0,0.0,0.0
proposed_pandas_engine,1600000,state_dependent,A+ B+ ; B AS price > AVG(A.price),True,baseline,0.9211208397364796,0.0139412653129085,0.9032988799990562,0.9667373510019388,20,1737386.4889648512,144.77726246843434,"cgroup v2 memory.current incremental peak MB over 5s pre-query baseline (50ms sampling, IQR-filtered mean)",362.7876953125,"cgroup v2 memory.current absolute peak MB during query (50ms sampling, IQR-filtered mean)",130338,,25967.32262749401,218.01043284406563,27.653404763083717,6.216354908302194,90.48578904277146,,1.0,1.0,0.0,0.0
proposed_pandas_engine,2222742,state_dependent,A+ B+ ; B AS price > AVG(A.price),True,baseline,1.279444360157772,0.0231932464337836,1.2425259379997442,1.4138383600002271,20,1737807.879590291,210.57364491266836,"cgroup v2 memory.current incremental peak MB over 5s pre-query baseline (50ms sampling, IQR-filtered mean)",490.4126953125,"cgroup v2 memory.current absolute peak MB during query (50ms sampling, IQR-filtered mean)",181147,,31248.48190860108,283.00991879734846,29.73560459132941,6.753161352384118,94.73598146463615,,1.0,1.0,0.0,2.0
oracle_21c_ee,100000,state_dependent,A+ B+ ; B AS price > AVG(A.price),True,True,0.0725203659997077,0.0033735795828692,0.0701348849997884,0.0749058469996271,2,1378922.9911002233,2.125,Oracle session PGA high-water delta MB (fresh session),2101.76,Docker container peak memory MB,9067,,,,,,,,,,,
oracle_21c_ee,200000,state_dependent,A+ B+ ; B AS price > AVG(A.price),True,True,0.1328387095002199,0.000450574804725,0.132520105000367,0.1331573140000728,2,1505585.2375596052,4.8125,Oracle session PGA high-water delta MB (fresh session),2157.568,Docker container peak memory MB,16093,,,,,,,,,,,
oracle_21c_ee,400000,state_dependent,A+ B+ ; B AS price > AVG(A.price),True,True,0.3493755639997289,0.006925140771146,0.3444787499997801,0.3542723779996777,2,1144899.7617941888,11.1875,Oracle session PGA high-water delta MB (fresh session),2193.408,Docker container peak memory MB,34391,,,,,,,,,,,
oracle_21c_ee,800000,state_dependent,A+ B+ ; B AS price > AVG(A.price),True,True,0.6655472510001346,0.0019111187108841,0.6641958860000159,0.6668986160002532,2,1202018.3372372433,23.6875,Oracle session PGA high-water delta MB (fresh session),2195.456,Docker container peak memory MB,66330,,,,,,,,,,,
